id,name_ja,name_en,introduction_ja,introduction_en,url,logo_file,sponsor_type,order
1,株式会社サイカ,"XICA CO.,LTD.",,,https://xica.net/,,Silver,35
2,FLEXY,FLEXY,"FLEXYとはエンジニア・デザイナー・CTO・技術顧問などを中心に、週2〜3日からの新しい働き方を提供する、ハイスキルなプロ人材シェアリングサービスです。
ご紹介するのは自社プロダクト案件のみ。ハイスキルな人材を求めている企業様が多く、技術顧問・テックリード・メインデザイナー・プロジェクトマネージャーなど、プロジェクトのコア部分を担う重要な案件が多くあります。
現在フリーランスの方で更に案件を獲得されたい方や正社員として働きつつ副業を検討している方など、あなたのご希望に合わせてコーディネーターが最適な提案を致します。","""FLEXY"" is a highly-skilled professional sharing service that offers a new way of working from 2 or 3 days a week, targeting engineers, designers, CTOs, and technical advisors.
We only introduce our client's own product projects. 
Many companies are seeking highly-skilled professionals for core roles as technical advisors, tech leads, main designers, project managers, etc in high profile projects.
If you are currently a freelancer and would like to acquire more projects, or if you are considering a side job while working as a full-time employee, our coordinators will work with your needs and make the most suitable proposal for you.",https://flxy.jp/,FLEXY.png,Diamond,31
3,Elastic,Elastic,,,https://www.linkedin.com/company/elastic-co,,Silver,30
4,株式会社はてな,"Hatena Co., Ltd.",,,https://hatena.co.jp/,,Silver,2
5,DATUM STUDIO株式会社,DATUM STUDIO Co. Ltd.,"DATUM STUDIOは、データと先端テクノロジーで経営課題を解決するデータ分析コンサルティング・ソフトウェア開発企業です。クライアントのパートナーとしてビジネスに持続的成長と新しい可能性を提供します。

メディア、小売、メーカーなど業種・業態を問わず、幅広い業種・業態のお客さまのビジネスパートナーとして、多岐にわたる経営課題の解決に取り組んでいます。
お客さまが所有する業界固有データを用いた高精度な分析や業務効率の改善提案だけでなく、お客さまの課題解決を実現するにあたって最適なソリューション提案と実装まで、データやAI、最新システムを用いたコンサルティング及びソフトウェア開発を提供しています。

DATUM STUDIOでは、多種多様なプロジェクトで様々なデータに触れながら最新のライブラリや分析手法を取り入れてることで、圧倒的な価値を生み出すスキルを開発する環境があります。また、クライアントに最適な技術選定ができるよう、各企業とパートナーシップを形成しており、それにともない資格取得制度も運用しています。

是非我々と一緒に、カオスに一筋の光を見出す面白さを体感しましょう！DATUM STUDIOのブースでお待ちしています！","DATUM STUDIO is a data analytics consulting and software development company, that uses data and technology to solve corporate management  issues.
As a partner to our clients, we provide sustainable growth and new possibilities for business. ",https://datumstudio.jp/,datumstudio_logo.png,Gold,34
6,Indeed Japan株式会社,Indeed Japan KK,,,https://jp.indeed.jobs/,,Silver,24
7,Findy,Findy Inc.,"Findy（ファインディ）は、GitHub等の解析を行い、エンジニアのスキルやエンジニア組織の生産性を「見える化」することがサービスの特徴です。
ハイスキルなエンジニアと企業をマッチングするサービス「Findy」、「Findy Freelance」、「Findy Global」、エンジニア組織のパフォーマンスを最大化するために組織内の開発生産性を可視化するサービス「Findy Teams」の4つの事業を展開しています。登録ユーザーは100,000人を突破、導入企業数が750社を超え、スタートアップからDXを推進したい大手企業まで幅広い企業に導入していただいております。","Findy helps engineering organizations and individuals improve their development experiences. Founded in 2016 and based in Tokyo, the Engineering Intelligence products, Findy, Findy Freelance, and Findy Teams, are trusted by over 100,000 software engineers users and over 750 companies from start-ups to enterprises.",https://findy.co.jp/,Findy.png,Platinum,19
8,株式会社マイクロアド,"MicroAd, Inc.","マイクロアドは国内最大規模のデータプラットフォームを展開する会社です。

月間1600億件のリクエストを捌くDSP「UNIVERSE Ads」を始め、SSP「MicroAd COMPASS」やデータプラットフォーム「UNIVERSE」によって最適化されたインターネット広告を提供しています。
また、これらサービスによって蓄積される膨大なオンラインユーザーデータを生かし、オフラインも含めた企業のマーケティング課題、ビジネス課題の解決にも取り組んでいます。

弊社は、自社サービスを支える Python エンジニアを募集しております。ご興味がある方、ぜひお問い合わせください！","マイクロアドは国内最大規模のデータプラットフォームを展開する会社です。

月間1600億件のリクエストを捌くDSP「UNIVERSE Ads」を始め、SSP「MicroAd COMPASS」やデータプラットフォーム「UNIVERSE」によって最適化されたインターネット広告を提供しています。
また、これらサービスによって蓄積される膨大なオンラインユーザーデータを生かし、オフラインも含めた企業のマーケティング課題、ビジネス課題の解決にも取り組んでいます。

弊社は、自社サービスを支える Python エンジニアを募集しております。ご興味がある方、ぜひお問い合わせください！",https://www.microad.co.jp/,microad_logo.png,Gold,20
9,株式会社ビープラウド,BeProud Inc.,ビープラウドは、システム開発のプロフェッショナルチームとして、Pythonを中核にインターネットプラットフォームを活用したシステムの自社開発・受託開発を行う。優秀なPythonistaがより力を発揮できる環境作りに努め、Python特化のオンライン学習サービス「PyQ（パイキュー）」・システム開発者向けクラウドドキュメントサービス「TRACERY（トレーサリー）」・研修事業・技術書の執筆などを通してそのノウハウを発信。IT勉強会支援プラットフォーム「connpass（コンパス）」の開発・運営や勉強会「BPStudy」の主催など、技術コミュニティ活動にも積極的に取り組む。,"BeProud is a Japanese software development company known for welcoming many excellent Pythonistas. We constantly improve our technical prowess through our work building new services and web applications for clients. In addition to our client work, we also run a few web services including connpass, an event platform for building connections, PyQ the best way to learn Python online, and TRACERY, an online platform to maintain the traceability of documents. We are doing our best to help improve Python and Python's community and publish books regularly about Python programming.",https://www.beproud.jp/,BP_logo_color.svg,Gold,18
10,日本経済新聞社,日本経済新聞社,,,https://hack.nikkei.com/,,Silver,33
11,株式会社日本システム技研,株式会社日本システム技研,,,https://jsl.co.jp/,,Silver,27
12,Amazon Web Services,Amazon Web Services,アマゾン ウェブ サービス (AWS) は、世界で最も包括的で広く採用されているクラウドプラットフォームです。AWS 提供するウェブマガジン「builders.flash」は、開発者の皆様へ楽しみながら実践的に学べるトピックを毎月お届けします。連動したメールメンバー (無料) の募集も行なっており、メールメンバーだけに用意された特典をご案内します。,"Amazon Web Services (AWS) is the world’s most comprehensive and broadly adopted cloud platform. ""builders.flash"", a web magazine provided by AWS, provides developers with fun and practical topics to learn about every month. We also offer a free e-mail membership, which provides exclusive benefits for e-mail members (only in Japanese).",https://aws.amazon.com/jp/builders-flash/?sc_icampaign=el_pycon2022_jp&sc_ichannel=el&sc_icontent=el_pycon2022_jp&trkCampaign=builders_flash&trk=el_builders_flash_el_pycon2022_jp,AWS_logo_RGB.png,Platinum,9
